Dia,Suseptibles,Infectados,Personas Sanas,Recuperados
dia 1,suseptibles 7999,infectados 1,personas sanas 7999,recuperados 0
dia 2,suseptibles 7998,infectados 2,personas sanas 7998,recuperados 0
dia 3,suseptibles 7996,infectados 4,personas sanas 7996,recuperados 0
dia 4,suseptibles 7995,infectados 5,personas sanas 7995,recuperados 0
dia 5,suseptibles 7995,infectados 5,personas sanas 7995,recuperados 0
dia 6,suseptibles 7994,infectados 6,personas sanas 7994,recuperados 0
dia 7,suseptibles 7993,infectados 7,personas sanas 7993,recuperados 0
dia 8,suseptibles 7993,infectados 7,personas sanas 7993,recuperados 0
dia 9,suseptibles 7993,infectados 7,personas sanas 7993,recuperados 0
dia 10,suseptibles 7992,infectados 8,personas sanas 7992,recuperados 0
dia 11,suseptibles 7992,infectados 8,personas sanas 7992,recuperados 0
dia 12,suseptibles 7992,infectados 8,personas sanas 7992,recuperados 0
dia 13,suseptibles 7991,infectados 9,personas sanas 7991,recuperados 0
dia 14,suseptibles 7991,infectados 7,personas sanas 7993,recuperados 2
dia 15,suseptibles 7991,infectados 6,personas sanas 7994,recuperados 3
dia 16,suseptibles 7991,infectados 6,personas sanas 7994,recuperados 3
dia 17,suseptibles 7990,infectados 5,personas sanas 7995,recuperados 5
dia 18,suseptibles 7989,infectados 5,personas sanas 7995,recuperados 6
dia 19,suseptibles 7989,infectados 5,personas sanas 7995,recuperados 6
dia 20,suseptibles 7989,infectados 4,personas sanas 7996,recuperados 7
dia 21,suseptibles 7988,infectados 5,personas sanas 7995,recuperados 7
dia 22,suseptibles 7987,infectados 6,personas sanas 7994,recuperados 7
dia 23,suseptibles 7986,infectados 6,personas sanas 7994,recuperados 8
dia 24,suseptibles 7986,infectados 6,personas sanas 7994,recuperados 8
dia 25,suseptibles 7985,infectados 7,personas sanas 7993,recuperados 8
dia 26,suseptibles 7985,infectados 7,personas sanas 7993,recuperados 8
dia 27,suseptibles 7984,infectados 7,personas sanas 7993,recuperados 9
